,collected_at,sensor_name,last_update,trigger,annotation
131994,2022-07-07 08:00:12.383460+10:00,m4,2022-07-06 17:32:06+10:00,,
167157,2022-07-07 08:00:12.374214+10:00,m8,2022-07-07 05:32:54+10:00,,
167229,2022-07-07 08:00:11.913331+10:00,hue0,2022-07-07 05:33:08+10:00,False,
167382,2022-07-07 08:00:12.359335+10:00,m6,2022-07-07 05:34:48+10:00,,
167427,2022-07-07 08:00:12.349139+10:00,m7,2022-07-07 05:34:58+10:00,,
167436,2022-07-07 08:00:12.338639+10:00,m1,2022-07-07 05:35:11+10:00,,
167490,2022-07-07 08:00:12.366725+10:00,m2,2022-07-07 05:35:12+10:00,,
167985,2022-07-07 08:00:12.378235+10:00,m5,2022-07-07 05:35:47+10:00,,
168210,2022-07-07 08:00:12.358496+10:00,m3,2022-07-07 05:36:05+10:00,,
170181,2022-07-07 08:50:49.880646+10:00, ,2022-07-07 08:50:35+10:00,,
171126,2022-07-07 09:21:00.071165+10:00,m3,2022-07-07 08:50:48+10:00,,
172233,2022-07-07 09:21:06.081376+10:00,m5,2022-07-07 08:50:55+10:00,,
172890,2022-07-07 09:44:31.813208+10:00,m8,2022-07-07 08:51:04+10:00,,
173169,2022-07-07 09:46:47.981665+10:00,m3,2022-07-07 09:35:54+10:00,,
173430,2022-07-07 09:46:47.976171+10:00,m5,2022-07-07 09:35:57+10:00,,
176661,2022-07-07 09:58:42.826350+10:00,m3,2022-07-07 09:52:13+10:00,,
178155,2022-07-07 09:58:20.798923+10:00,m5,2022-07-07 09:52:14+10:00,,
178452,2022-07-07 10:07:49.466837+10:00,m3,2022-07-07 10:01:41+10:00,,
178614,2022-07-07 10:10:31.657374+10:00,m5,2022-07-07 10:01:41+10:00,,
182016,2022-07-07 10:10:35.567648+10:00,hue0,2022-07-07 10:10:32+10:00,True,
183789,2022-07-07 10:10:51.586725+10:00,hue0,2022-07-07 10:10:43+10:00,True,
184095,2022-07-07 10:11:07.707780+10:00,m3,2022-07-07 10:10:44+10:00,,
184239,2022-07-07 10:11:07.698256+10:00,m8,2022-07-07 10:10:45+10:00,,
184527,2022-07-07 10:11:05.692513+10:00,m4,2022-07-07 10:10:49+10:00,,
184797,2022-07-07 10:11:25.630729+10:00,hue0,2022-07-07 10:10:53+10:00,False,
187902,2022-07-07 10:11:43.762188+10:00,m4,2022-07-07 10:11:16+10:00,,
189405,2022-07-07 10:11:43.728609+10:00,m8,2022-07-07 10:11:22+10:00,,
192897,2022-07-07 10:13:19.846420+10:00,m3,2022-07-07 10:11:23+10:00,,
194571,2022-07-07 10:11:35.638609+10:00,hue0,2022-07-07 10:11:26+10:00,True,
